DATE,TB3MS,
196705,3.6,
196706,3.54,
196707,4.21,
196708,4.27,
196709,4.42,
196710,4.56,
196711,4.73,
196712,4.97,
196801,5,
196802,4.98,
196803,5.17,
196804,5.38,
196805,5.66,
196806,5.52,
196807,5.31,
196808,5.09,
196809,5.19,
196810,5.35,
196811,5.45,
196812,5.96,
196901,6.14,
196902,6.12,
196903,6.02,
196904,6.11,
196905,6.04,
196906,6.44,
196907,7,
196908,6.98,
196909,7.09,
196910,7,
196911,7.24,
196912,7.82,
197001,7.87,
197002,7.13,
197003,6.63,
197004,6.51,
197005,6.84,
197006,6.68,
197007,6.45,
197008,6.41,
197009,6.12,
197010,5.91,
197011,5.28,
197012,4.87,
197101,4.44,
197102,3.7,
197103,3.38,
197104,3.86,
197105,4.14,
197106,4.75,
197107,5.4,
197108,4.94,
197109,4.69,
197110,4.46,
197111,4.22,
197112,4.01,
197201,3.38,
197202,3.2,
197203,3.73,
197204,3.71,
197205,3.69,
197206,3.91,
197207,3.98,
197208,4.02,
197209,4.66,
197210,4.74,
197211,4.78,
197212,5.07,
197301,5.41,
197302,5.6,
197303,6.09,
197304,6.26,
197305,6.36,
197306,7.19,
197307,8.01,
197308,8.67,
197309,8.29,
197310,7.22,
197311,7.83,
197312,7.45,
197401,7.77,
197402,7.12,
197403,7.96,
197404,8.33,
197405,8.23,
197406,7.9,
197407,7.55,
197408,8.96,
197409,8.06,
197410,7.46,
197411,7.47,
197412,7.15,
197501,6.26,
197502,5.5,
197503,5.49,
197504,5.61,
197505,5.23,
197506,5.34,
197507,6.13,
197508,6.44,
197509,6.42,
197510,5.96,
197511,5.48,
197512,5.44,
197601,4.87,
197602,4.88,
197603,5,
197604,4.86,
197605,5.2,
197606,5.41,
197607,5.23,
197608,5.14,
197609,5.08,
197610,4.92,
197611,4.75,
197612,4.35,
197701,4.62,
197702,4.67,
197703,4.6,
197704,4.54,
197705,4.96,
197706,5.02,
197707,5.19,
197708,5.49,
197709,5.81,
197710,6.16,
197711,6.1,
197712,6.07,
197801,6.44,
197802,6.45,
197803,6.29,
197804,6.29,
197805,6.41,
197806,6.73,
197807,7.01,
197808,7.08,
197809,7.85,
197810,7.99,
197811,8.64,
197812,9.08,
197901,9.35,
197902,9.32,
197903,9.48,
197904,9.46,
197905,9.61,
197906,9.06,
197907,9.24,
197908,9.52,
197909,10.26,
197910,11.7,
197911,11.79,
197912,12.04,
198001,12,
198002,12.86,
198003,15.2,
198004,13.2,
198005,8.58,
198006,7.07,
198007,8.06,
198008,9.13,
198009,10.27,
198010,11.62,
198011,13.73,
198012,15.49,
198101,15.02,
198102,14.79,
198103,13.36,
198104,13.69,
198105,16.3,
198106,14.73,
198107,14.95,
198108,15.51,
198109,14.7,
198110,13.54,
198111,10.86,
198112,10.85,
198201,12.28,
198202,13.48,
198203,12.68,
198204,12.7,
198205,12.09,
198206,12.47,
198207,11.35,
198208,8.68,
198209,7.92,
198210,7.71,
198211,8.07,
198212,7.94,
198301,7.86,
198302,8.11,
198303,8.35,
198304,8.21,
198305,8.19,
198306,8.79,
198307,9.08,
198308,9.34,
198309,9,
198310,8.64,
198311,8.76,
198312,9,
198401,8.9,
198402,9.09,
198403,9.52,
198404,9.69,
198405,9.83,
198406,9.87,
198407,10.12,
198408,10.47,
198409,10.37,
198410,9.74,
198411,8.61,
198412,8.06,
198501,7.76,
198502,8.27,
198503,8.52,
198504,7.95,
198505,7.48,
198506,6.95,
198507,7.08,
198508,7.14,
198509,7.1,
198510,7.16,
198511,7.24,
198512,7.1,
198601,7.07,
198602,7.06,
198603,6.56,
198604,6.06,
198605,6.15,
198606,6.21,
198607,5.83,
198608,5.53,
198609,5.21,
198610,5.18,
198611,5.35,
198612,5.53,
198701,5.43,
198702,5.59,
198703,5.59,
198704,5.64,
198705,5.66,
198706,5.67,
198707,5.69,
198708,6.04,
198709,6.4,
198710,6.13,
198711,5.69,
198712,5.77,
198801,5.81,
198802,5.66,
198803,5.7,
198804,5.91,
198805,6.26,
198806,6.46,
198807,6.73,
198808,7.06,
198809,7.24,
198810,7.35,
198811,7.76,
198812,8.07,
198901,8.27,
198902,8.53,
198903,8.82,
198904,8.65,
198905,8.43,
198906,8.15,
198907,7.88,
198908,7.9,
198909,7.75,
198910,7.64,
198911,7.69,
198912,7.63,
199001,7.64,
199002,7.74,
199003,7.9,
199004,7.77,
199005,7.74,
199006,7.73,
199007,7.62,
199008,7.45,
199009,7.36,
199010,7.17,
199011,7.06,
199012,6.74,
199101,6.22,
199102,5.94,
199103,5.91,
199104,5.65,
199105,5.46,
199106,5.57,
199107,5.58,
199108,5.33,
199109,5.22,
199110,4.99,
199111,4.56,
199112,4.07,
199201,3.8,
199202,3.84,
199203,4.04,
199204,3.75,
199205,3.63,
199206,3.66,
199207,3.21,
199208,3.13,
199209,2.91,
199210,2.86,
199211,3.13,
199212,3.22,
199301,3,
199302,2.93,
199303,2.95,
199304,2.87,
199305,2.96,
199306,3.07,
199307,3.04,
199308,3.02,
199309,2.95,
199310,3.02,
199311,3.1,
199312,3.06,
199401,2.98,
199402,3.25,
199403,3.5,
199404,3.68,
199405,4.14,
199406,4.14,
199407,4.33,
199408,4.48,
199409,4.62,
199410,4.95,
199411,5.29,
199412,5.6,
199501,5.71,
199502,5.77,
199503,5.73,
199504,5.65,
199505,5.67,
199506,5.47,
199507,5.42,
199508,5.4,
199509,5.28,
199510,5.28,
199511,5.36,
199512,5.14,
199601,5,
199602,4.83,
199603,4.96,
199604,4.95,
199605,5.02,
199606,5.09,
199607,5.15,
199608,5.05,
199609,5.09,
199610,4.99,
199611,5.03,
199612,4.91,
199701,5.03,
199702,5.01,
199703,5.14,
199704,5.16,
199705,5.05,
199706,4.93,
199707,5.05,
199708,5.14,
199709,4.95,
199710,4.97,
199711,5.14,
199712,5.16,
199801,5.04,
199802,5.09,
199803,5.03,
199804,4.95,
199805,5,
199806,4.98,
199807,4.96,
199808,4.9,
199809,4.61,
199810,3.96,
199811,4.41,
199812,4.39,
199901,4.34,
199902,4.44,
199903,4.44,
199904,4.29,
199905,4.5,
199906,4.57,
199907,4.55,
199908,4.72,
199909,4.68,
199910,4.86,
199911,5.07,
199912,5.2,
200001,5.32,
200002,5.55,
200003,5.69,
200004,5.66,
200005,5.79,
200006,5.69,
200007,5.96,
200008,6.09,
200009,6,
200010,6.11,
200011,6.17,
200012,5.77,
200101,5.15,
200102,4.88,
200103,4.42,
200104,3.87,
200105,3.62,
200106,3.49,
200107,3.51,
200108,3.36,
200109,2.64,
200110,2.16,
200111,1.87,
200112,1.69,
200201,1.65,
200202,1.72,
200203,1.79,
200204,1.71,
200205,1.73,
200206,1.7,
200207,1.68,
200208,1.62,
200209,1.63,
200210,1.58,
200211,1.23,
200212,1.19,
200301,1.17,
200302,1.17,
200303,1.13,
200304,1.13,
200305,1.07,
200306,0.92,
200307,0.9,
200308,0.95,
200309,0.94,
200310,0.92,
200311,0.93,
200312,0.9,
200401,0.88,
200402,0.93,
200403,0.94,
200404,0.94,
200405,1.02,
200406,1.27,
200407,1.33,
200408,1.48,
200409,1.65,
200410,1.76,
200411,2.07,
200412,2.19,
200501,2.33,
200502,2.54,
200503,2.74,
200504,2.78,
200505,2.84,
200506,2.97,
200507,3.22,
200508,3.44,
200509,3.42,
200510,3.71,
200511,3.88,
200512,3.89,
200601,4.24,
200602,4.43,
200603,4.51,
200604,4.6,
200605,4.72,
200606,4.79,
200607,4.95,
200608,4.96,
200609,4.81,
200610,4.92,
200611,4.94,
200612,4.85,
200701,4.98,
200702,5.03,
200703,4.94,
200704,4.87,
200705,4.73,
200706,4.61,
200707,4.82,
200708,4.2,
200709,3.89,
200710,3.9,
200711,3.27,
200712,3,
200801,2.75,
200802,2.12,
200803,1.26,
200804,1.29,
200805,1.73,
200806,1.86,
200807,1.63,
200808,1.72,
200809,1.13,
200810,0.67,
