TICKER,FSYM_ID,DATE,CURRENCY,PRICE_DATE,MTD_RETURN_LOCAL,MTD_RETURN_USD,Unnamed: 7
BVH-US,LQ7CJZ-R,02/29/2020,USD,02/28/2020,-10.3093,-10.3093,711
IMPX.UT-US,PYWV7Q-R,11/30/2021,USD,11/30/2021,0.8355,0.8355,13312
EGFHF-US,Q2S5HD-R,12/31/2019,USD,12/31/2019,-0.3831,-0.3831,1409
JMLP-US,WYG3CB-R,04/30/2015,USD,04/30/2015,4.2666,4.2666,9087
ZTR-US,VMHC56-R,10/31/2018,USD,10/31/2018,-12.5789,-12.5789,12258
DIAX-US,BVBQPH-R,06/30/2021,USD,06/30/2021,1.1258,1.1258,9266
NSFDF-US,V847LR-R,08/31/2013,USD,08/30/2013,19.2035,19.2035,7490
PMGYF-US,NPPK4Y-R,06/30/2017,USD,06/30/2017,-12.9225,-12.9225,3334
CEVMF-US,TSF3NP-R,04/30/2021,USD,04/21/2021,-11.9476,-11.9476,842
BRSYF-US,Q78D45-R,10/31/2022,USD,10/31/2022,0.0,0.0,680
ARBG-US,FC4LY7-R,12/31/2021,USD,12/31/2021,-0.2039,-0.2039,14031
OII-US,X6H93P-R,08/31/2021,USD,08/31/2021,-7.2398,-7.2398,11147
GAIN-US,RYTLD3-R,10/31/2020,USD,10/30/2020,-7.7432,-7.7432,5140
JPPYY-US,B5CNBX-R,08/31/2021,USD,08/31/2021,2.2556,2.2556,9429
SHWDY-US,VXLF81-R,09/30/2019,USD,09/23/2019,,,3824
MNNGF-US,CQRTMX-R,12/31/2020,USD,12/30/2020,,,10589
KAST-US,T2T2RW-R,01/31/2019,USD,01/31/2019,44.2308,44.2308,10309
RP-US,TSMQD0-R,03/31/2017,USD,03/31/2017,3.4074,3.4074,3633
SCIO-US,QP5Y65-R,12/31/2014,USD,12/31/2014,126.7002,126.7002,8926
CLS-US,XHDBLR-R,10/31/2022,USD,10/31/2022,30.321,30.321,959
OIIM-US,J06ZCT-R,10/31/2014,USD,10/31/2014,-25.9399,-25.9399,3101
BANC-US,DXVMZC-R,07/31/2019,USD,07/31/2019,11.8826,11.8826,491
AXDX-US,TXXGFG-R,07/31/2018,USD,07/31/2018,-1.5695,-1.5695,6962
AXNVF-US,DF4B6P-R,12/31/2020,USD,12/31/2020,-72.2222,-72.2222,10118
YIN-US,BNBDZ8-R,05/31/2020,USD,05/29/2020,-5.0,-5.0,10526
PRAA-US,P21PSF-R,09/30/2022,USD,09/30/2022,-11.0449,-11.0449,3379
WMK-US,K6NZPD-R,09/30/2021,USD,09/30/2021,-7.7261,-7.7261,4571
DMTK-US,NV51ZL-R,04/30/2022,USD,04/29/2022,-41.7575,-41.7575,11369
INFI-US,M50BWP-R,12/31/2016,USD,12/30/2016,16.3793,16.3793,2219
ZONX-US,JS28CM-R,09/30/2020,USD,09/29/2020,9.589,9.589,8848
SRWRF-US,TQ7XHM-R,07/31/2021,USD,07/29/2021,-0.3802,-0.3802,3994
SPPGF-US,X9VX8H-R,03/31/2020,USD,03/30/2020,-19.7026,-19.7026,7684
NSIT-US,LSJWZ3-R,08/31/2021,USD,08/31/2021,2.5005,2.5005,3018
STZHF-US,FR2JWT-R,07/31/2019,USD,07/31/2019,1.2759,1.2759,11253
CPF-US,L7H2CT-R,07/31/2021,USD,07/30/2021,-1.7652,-1.7652,1038
LPRIQ-US,VRCV2D-R,03/31/2013,USD,03/28/2013,16.5049,16.5049,2574
UE-US,FBRH67-R,02/28/2017,USD,02/28/2017,-0.8581,-0.8581,9702
GDET-US,H8J87D-R,08/31/2018,USD,08/31/2018,-37.5,-37.5,9862
CXDC-US,NW76P5-R,11/30/2019,USD,11/29/2019,-8.6956,-8.6956,1184
FOLGF-US,NZMPR1-R,11/30/2020,USD,11/30/2020,-20.5426,-20.5426,1680
IRCP-US,J99X2D-R,11/30/2020,USD,11/30/2020,58.286,58.286,10651
XTLB-US,C7V5N3-R,02/28/2013,USD,02/28/2013,8.1505,8.1505,4629
WRDEF-US,PF9DVP-R,06/30/2020,USD,06/17/2020,,,4582
ORMP-US,S1167H-R,03/31/2018,USD,03/29/2018,-10.2069,-10.2069,6485
FATE-US,M17YYH-R,02/28/2022,USD,02/28/2022,-16.767,-16.767,7195
CGEAF-US,T3Y8WX-R,07/31/2014,USD,07/28/2014,3.8916,3.8916,6454
MSC-US,RSK699-R,05/31/2019,USD,05/31/2019,14.6273,14.6273,11871
NMRK-US,KNKY8H-R,03/31/2022,USD,03/31/2022,-9.9548,-9.9548,11131
FRSCF-US,D385TW-R,11/30/2017,USD,11/13/2017,,,6599
EXAC-US,FGWLXV-R,12/31/2015,USD,12/31/2015,3.5368,3.5368,1548
CCOHY-US,K90J4L-R,02/28/2015,USD,02/27/2015,-5.9358,-5.9358,13052
FCBP-US,KCDZJV-R,09/30/2018,USD,09/28/2018,-0.221,-0.221,10234
ABQQ-US,P2QCQB-R,12/31/2016,USD,12/02/2016,99.0,99.0,10698
MGF-US,BWDMFC-R,03/31/2020,USD,03/31/2020,1.7752,1.7752,10762
VNET-US,D0Y5G8-R,09/30/2021,USD,09/30/2021,-12.5316,-12.5316,4462
HTS-US,J3SC0J-R,03/31/2014,USD,03/31/2014,-1.8241,-1.8241,7304
MCR-US,GYF52K-R,06/30/2016,USD,06/30/2016,2.058,2.058,11544
OESX-US,SW4ZTL-R,01/31/2019,USD,01/31/2019,54.1156,54.1156,5420
HLIT-US,VJ6N5R-R,07/31/2014,USD,07/31/2014,-19.571,-19.571,2044
ICON-US,DF3M6C-R,05/31/2014,USD,05/30/2014,-1.3177,-1.3177,2169
EDRWY-US,V5W1W0-R,06/30/2018,USD,06/29/2018,-5.38,-5.38,13769
MRCC-US,GW56V2-R,08/31/2021,USD,08/31/2021,0.3707,0.3707,2821
TGONF-US,DHH5HD-R,04/30/2015,USD,04/30/2015,0.7187,0.7187,4171
DIDAY-US,W1HMDS-R,12/31/2020,USD,12/23/2020,-21.4286,-21.4286,11700
CWSRF-US,V8973F-R,06/30/2017,USD,06/29/2017,2.5176,2.5176,1179
BCKIF-US,N6ZHBY-R,01/31/2015,USD,01/27/2015,-7.362,-7.362,12744
CEBUY-US,RBYBB0-R,10/31/2018,USD,10/17/2018,-33.8885,-33.8885,9210
FISB-US,C0XZ76-R,10/31/2022,USD,10/31/2022,-4.6729,-4.6729,12403
FOA-US,LBSVYT-R,02/29/2020,USD,02/28/2020,0.2956,0.2956,12407
DMF-US,SB3TBS-R,09/30/2021,USD,09/30/2021,-0.2632,-0.2632,9994
ASZ-US,MJ3D9T-R,07/31/2022,USD,07/29/2022,0.4103,0.4103,14053
RGC-US,B4HF53-R,09/30/2021,USD,09/30/2021,-34.0611,-34.0611,15592
SCGPY-US,WZP6NQ-R,10/31/2017,USD,10/27/2017,11.1111,11.1111,8672
NUVA-US,L0VC0R-R,01/31/2016,USD,01/29/2016,-14.7662,-14.7662,3038
LDI-US,F6GR0N-R,12/31/2021,USD,12/31/2021,1.8789,1.8789,14747
RMISF-US,HSLVNT-R,02/28/2018,USD,02/28/2018,-37.5,-37.5,8648
NFJ-US,TKMSJ9-R,07/31/2015,USD,07/31/2015,-4.1005,-4.1005,10537
MDIT-US,M1H2H4-R,06/30/2019,USD,06/28/2019,66.6667,66.6667,8507
XIN-US,DG7YQN-R,01/31/2019,USD,01/31/2019,25.7895,25.7895,4615
CLDPQ-US,LGHWYC-R,09/30/2019,USD,09/30/2019,-52.2145,-52.2145,944
